request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,"Balance 100845250.00 IDR, min balance 24768300.00. Forecast headroom on 2025-08-03 is 76076950.00 against a request of 15656000.00. Decision: affordable_now / full_payment."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,"Balance 93141.80 ZAR, min balance 20500.00. Forecast headroom on 2026-07-05 is 72641.80 against a request of 6670.00. Decision: affordable_now / full_payment."
request_28,689.4,not_affordable,not_recommended,none,,none,"Balance 1789.40 EUR, min balance 1100.00. Forecast headroom on 2024-06-07 is 689.40 against a request of 1302.40. Decision: not_affordable / not_recommended."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,"Balance 113540.10 ZAR, min balance 28300.00. Forecast headroom on 2025-11-04 is 85240.10 against a request of 51524.00. Decision: affordable_now / full_payment."
request_30,775.2,affordable_now,full_payment,2026-04-06:775.20,2026-04-06,none,"Balance 3752.72 USD, min balance 900.00. Forecast headroom on 2026-04-06 is 2852.72 against a request of 775.20. Decision: affordable_now / full_payment."
request_31,13840360.0,affordable_with_plan,full_payment,2024-09-15:18164000.00,2024-09-15,none,"Balance 30429260.00 IDR, min balance 16588900.00. Forecast headroom on 2024-09-03 is 13840360.00 against a request of 18164000.00. Decision: affordable_with_plan / full_payment."
request_32,33305.8,not_affordable,not_recommended,none,,none,"Balance 69005.80 ZAR, min balance 35700.00. Forecast headroom on 2025-02-05 is 33305.80 against a request of 40018.00. Decision: not_affordable / not_recommended."
request_33,65180.0,not_affordable,not_recommended,none,,none,"Balance 167280.00 INR, min balance 102100.00. Forecast headroom on 2026-01-07 is 65180.00 against a request of 118000.00. Decision: not_affordable / not_recommended."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,"Balance 559752.50 INR, min balance 138500.00. Forecast headroom on 2024-12-04 is 421252.50 against a request of 129400.00. Decision: affordable_now / full_payment."
request_35,125130.0,not_affordable,not_recommended,none,,reduce_to:event_3231:0.00,"Balance 231530.00 INR, min balance 106400.00. Forecast headroom on 2025-10-30 is 125130.00 against a request of 212000.00. Decision: not_affordable / not_recommended. Required spending changes: reduce_to:event_3231:0.00."
request_36,1446.6,not_affordable,not_recommended,none,,none,"Balance 3846.60 USD, min balance 2400.00. Forecast headroom on 2026-07-03 is 1446.60 against a request of 3954.00. Decision: not_affordable / not_recommended."
request_37,12068800.0,not_affordable,not_recommended,none,,none,"Balance 29125000.00 IDR, min balance 17056200.00. Forecast headroom on 2024-03-05 is 12068800.00 against a request of 14649000.00. Decision: not_affordable / not_recommended."
request_38,379.4,not_affordable,not_recommended,none,,none,"Balance 779.40 EUR, min balance 400.00. Forecast headroom on 2025-08-07 is 379.40 against a request of 971.30. Decision: not_affordable / not_recommended."
request_39,203105.0,affordable_with_plan,full_payment,2026-04-15:208600.00,2026-04-15,none,"Balance 416505.00 INR, min balance 213400.00. Forecast headroom on 2026-04-04 is 203105.00 against a request of 208600.00. Decision: affordable_with_plan / full_payment."
request_40,851.0,not_affordable,not_recommended,none,,none,"Balance 2394.00 EUR, min balance 1500.00. Forecast headroom on 2024-06-06 is 851.00 against a request of 1290.30. Decision: not_affordable / not_recommended."
request_41,21888950.0,affordable_with_plan,full_payment,2025-11-15:38760000.00,2025-11-15,none,"Balance 50175850.00 IDR, min balance 25366600.00. Forecast headroom on 2025-11-03 is 21888950.00 against a request of 38760000.00. Decision: affordable_with_plan / full_payment."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,"Balance 261765.00 INR, min balance 113100.00. Forecast headroom on 2026-01-05 is 140565.00 against a request of 52100.00. Decision: affordable_now / full_payment."
request_43,13988750.0,not_affordable,not_recommended,none,,none,"Balance 36640750.00 IDR, min balance 21398000.00. Forecast headroom on 2024-09-07 is 13988750.00 against a request of 43339000.00. Decision: not_affordable / not_recommended."
request_44,74560.0,not_affordable,not_recommended,none,,none,"Balance 162290.00 INR, min balance 82900.00. Forecast headroom on 2025-02-04 is 74560.00 against a request of 95800.00. Decision: not_affordable / not_recommended."
request_45,8833100.0,not_affordable,not_recommended,none,,none,"Balance 19982900.00 IDR, min balance 11149800.00. Forecast headroom on 2026-07-06 is 8833100.00 against a request of 21983000.00. Decision: not_affordable / not_recommended."
request_46,49450.0,affordable_now,full_payment,2024-12-03:49450.00,2024-12-03,none,"Balance 202335.00 INR, min balance 84000.00. Forecast headroom on 2024-12-03 is 118335.00 against a request of 49450.00. Decision: affordable_now / full_payment."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,"Balance 112924150.00 IDR, min balance 30049000.00. Forecast headroom on 2025-05-05 is 82875150.00 against a request of 38114000.00. Decision: affordable_now / full_payment."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,"Balance 188065.00 INR, min balance 71300.00. Forecast headroom on 2026-07-25 is 116765.00 against a request of 45700.00. Decision: affordable_now / full_payment."
request_49,20228793.34,not_affordable,not_recommended,none,,none,"Balance 40504493.34 IDR, min balance 20275700.00. Forecast headroom on 2024-03-04 is 20228793.34 against a request of 34333000.00. Decision: not_affordable / not_recommended."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.00,2025-08-06,none,"Balance 247325.50 INR, min balance 99700.00. Forecast headroom on 2025-08-06 is 147625.50 against a request of 43900.00. Decision: affordable_now / full_payment."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,"Balance 35347700.00 IDR, min balance 7811000.00. Forecast headroom on 2026-01-03 is 27536700.00 against a request of 2191000.00. Decision: affordable_now / full_payment."
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870.00,2024-06-05,none,"Balance 75320.00 INR, min balance 41500.00. Forecast headroom on 2024-06-05 is 33820.00 against a request of 28870.00. Decision: affordable_now / full_payment."
request_53,1423.42,not_affordable,not_recommended,none,,none,"Balance 3523.42 USD, min balance 2100.00. Forecast headroom on 2025-11-07 is 1423.42 against a request of 1699.20. Decision: not_affordable / not_recommended."
request_54,16581.4,not_affordable,not_recommended,none,,none,"Balance 53581.40 ZAR, min balance 37000.00. Forecast headroom on 2026-07-04 is 16581.40 against a request of 121528.00. Decision: not_affordable / not_recommended."
request_55,176241.19,not_affordable,not_recommended,none,,none,"Balance 314341.19 INR, min balance 124300.00. Forecast headroom on 2026-06-08 is 176241.19 against a request of 218600.00. Decision: not_affordable / not_recommended."
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,"Balance 3432.36 USD, min balance 2100.00. Forecast headroom on 2025-02-03 is 1332.36 against a request of 881.56. Decision: affordable_now / full_payment."
request_57,21214.6,not_affordable,not_recommended,none,,none,"Balance 63914.60 ZAR, min balance 42700.00. Forecast headroom on 2026-04-05 is 21214.60 against a request of 61446.00. Decision: not_affordable / not_recommended."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,"Balance 42146065.00 IDR, min balance 14433900.00. Forecast headroom on 2024-12-07 is 27712165.00 against a request of 16226000.00. Decision: affordable_now / full_payment."
request_59,140600.0,affordable_now,full_payment,2025-05-04:140600.00,2025-05-04,none,"Balance 723245.99 INR, min balance 132600.00. Forecast headroom on 2025-05-04 is 590645.99 against a request of 140600.00. Decision: affordable_now / full_payment."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,"Balance 683.69 USD, min balance 400.00. Forecast headroom on 2026-01-06 is 248.69 against a request of 199.89. Decision: affordable_now / full_payment."
